GeneName,GN_Syn
DDX11L1,DDX11L1
WASH7P,WASH7P
MIR6859-1,MIR6859-1
MIR1302-2HG,MIR1302-2HG
MIR1302-2,MIR1302-2
FAM138A,FAM138A
OR4G4P,OR4G4P
OR4G11P,OR4G11P
OR4F5,OR4F5
AL627309.1,AL627309.1
AL627309.3,AL627309.3
CICP27,CICP27
AL627309.6,AL627309.6
AL627309.7,AL627309.7
AL627309.2,AL627309.2
AL627309.5,AL627309.5
RNU6-1100P,RNU6-1100P
AL627309.4,AL627309.4
FO538757.2,FO538757.2
FO538757.1,FO538757.1
MIR6859-2,MIR6859-2
AP006222.1,AP006222.1
RPL23AP24,RPL23AP24
AL732372.1,AL732372.1
AL732372.2,AL732372.2
WBP1LP7,WBP1LP7
OR4F29,OR4F29
CICP7,CICP7
AL732372.3,AL732372.3
RF00026,RF00026
AL669831.3,AL669831.3
AC114498.1,AC114498.1
MTND1P23,MTND1P23
MTND2P28,MTND2P28
MTCO1P12,MTCO1P12
MIR6723,MIR6723
MTCO2P12,MTCO2P12
MTATP8P1,MTATP8P1
MTATP6P1,MTATP6P1
MTCO3P12,MTCO3P12
WBP1LP6,WBP1LP6
OR4F16,OR4F16
CICP3,CICP3
AL669831.1,AL669831.1
RNU6-1199P,RNU6-1199P
AL669831.2,AL669831.2
AL669831.5,AL669831.5
AL669831.7,AL669831.7
AL669831.4,AL669831.4
FAM87B,FAM87B
LINC01128,LINC01128
LINC00115,LINC00115
FAM41C,FAM41C
TUBB8P11,TUBB8P11
AL669831.6,AL669831.6
AL645608.6,AL645608.6
AL645608.2,AL645608.2
AL645608.4,AL645608.4
LINC02593,LINC02593
SAMD11,SAMD11
NOC2L,NOC2L
KLHL17,KLHL17
PLEKHN1,PLEKHN1
PERM1,PERM1
AL645608.7,AL645608.7
HES4,HES4
ISG15,ISG15
AL645608.3,AL645608.3
AL645608.1,AL645608.1
AGRN,AGRN
AL645608.5,AL645608.5
AL390719.1,AL390719.1
AL645608.8,AL645608.8
RNF223,RNF223
C1orf159,C1orf159
AL390719.3,AL390719.3
LINC01342,LINC01342
MIR200B,MIR200B
MIR200A,MIR200A
MIR429,MIR429
AL390719.2,AL390719.2
TTLL10-AS1,TTLL10-AS1
TTLL10,TTLL10
TNFRSF18,TNFRSF18
TNFRSF4,TNFRSF4
SDF4,SDF4
B3GALT6,B3GALT6
C1QTNF12,C1QTNF12
AL162741.1,AL162741.1
UBE2J2,UBE2J2
LINC01786,LINC01786
SCNN1D,SCNN1D
ACAP3,ACAP3
MIR6726,MIR6726
PUSL1,PUSL1
INTS11,INTS11
MIR6727,MIR6727
AL139287.1,AL139287.1
CPTP,CPTP
TAS1R3,TAS1R3
DVL1,DVL1
MIR6808,MIR6808
MXRA8,MXRA8
AURKAIP1,AURKAIP1
NDUFB4P8,NDUFB4P8
CCNL2,CCNL2
AL391244.1,AL391244.1
MRPL20,MRPL20
RN7SL657P,RN7SL657P
AL391244.3,AL391244.3
ANKRD65,ANKRD65
AL391244.2,AL391244.2
TMEM88B,TMEM88B
LINC01770,LINC01770
VWA1,VWA1
ATAD3C,ATAD3C
ATAD3B,ATAD3B
AL645728.2,AL645728.2
ATAD3A,ATAD3A
TMEM240,TMEM240
SSU72,SSU72
AL645728.1,AL645728.1
AL691432.3,AL691432.3
FNDC10,FNDC10
AL691432.2,AL691432.2
MIB2,MIB2
MMP23B,MMP23B
CDK11B,CDK11B
FO704657.1,FO704657.1
SLC35E2B,SLC35E2B
AL691432.1,AL691432.1
MMP23A,MMP23A
CDK11A,CDK11A
AL031282.2,AL031282.2
AL031282.1,AL031282.1
SLC35E2A,SLC35E2A
NADK,NADK
GNB1,GNB1
AL109917.1,AL109917.1
CALML6,CALML6
TMEM52,TMEM52
CFAP74,CFAP74
AL391845.2,AL391845.2
GABRD,GABRD
AL391845.1,AL391845.1
PRKCZ,PRKCZ
AL590822.2,AL590822.2
PRKCZ-AS1,PRKCZ-AS1
FAAP20,FAAP20
AL590822.1,AL590822.1
SKI,SKI
MORN1,MORN1
AL589739.1,AL589739.1
AL513477.1,AL513477.1
AL513477.2,AL513477.2
RER1,RER1
PEX10,PEX10
PLCH2,PLCH2
AL139246.1,AL139246.1
AL139246.4,AL139246.4
PANK4,PANK4
HES5,HES5
AL139246.5,AL139246.5
TNFRSF14-AS1,TNFRSF14-AS1
TNFRSF14,TNFRSF14
AL139246.2,AL139246.2
AL139246.3,AL139246.3
PRXL2B,PRXL2B
MMEL1,MMEL1
AL831784.1,AL831784.1
TTC34,TTC34
AC242022.2,AC242022.2
AC242022.1,AC242022.1
AL592464.2,AL592464.2
AL592464.1,AL592464.1
AL589702.1,AL589702.1
ACTRT2,ACTRT2
LINC00982,LINC00982
PRDM16,PRDM16
